Unnamed: 0,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,grammar_premise_gen_gpt_0.2,grammar_hypothesis_gen_gpt_0.2,cohesiveness_premise_gen_gpt_0.2,cohesiveness_hypothesis_gen_gpt_0.2,likableness_premise_gen_gpt_0.2,likableness_hypothesis_gen_gpt_0.2,fluency_premise_gen_gpt_0.2,fluency_hypothesis_gen_gpt_0.2,grammar_premise_gen_gpt_1.0,grammar_hypothesis_gen_gpt_1.0,cohesiveness_premise_gen_gpt_1.0,cohesiveness_hypothesis_gen_gpt_1.0,likableness_premise_gen_gpt_1.0,likableness_hypothesis_gen_gpt_1.0,fluency_premise_gen_gpt_1.0,fluency_hypothesis_gen_gpt_1.0,grammar_premise_gen_mistral_0.2,grammar_hypothesis_gen_mistral_0.2,cohesiveness_premise_gen_mistral_0.2,cohesiveness_hypothesis_gen_mistral_0.2,likableness_premise_gen_mistral_0.2,likableness_hypothesis_gen_mistral_0.2,fluency_premise_gen_mistral_0.2,fluency_hypothesis_gen_mistral_0.2,grammar_premise_gen_mistral_1.0,grammar_hypothesis_gen_mistral_1.0,cohesiveness_premise_gen_mistral_1.0,cohesiveness_hypothesis_gen_mistral_1.0,likableness_premise_gen_mistral_1.0,likableness_hypothesis_gen_mistral_1.0,fluency_premise_gen_mistral_1.0,fluency_hypothesis_gen_mistral_1.0
284,two men in hard hats and safety neon vests on scaffolding working outside in the daylight.,a school class visits the museum of modern art.,two people in the colorful and floating abstract vests on scaffold stands outside in the museum.,[CLS] valuable achievement commemorates the founding of modern art.,0,2,2,0.4705882352941176,0.7,208.9381256103516,226.6013946533203,2,1,2,1,2,1,2,1,2,2,3,1,2,1,2,1,5,1,5,0,5,1,5,1,5,-1,5,1,5,1,4,1
285,a blond man playing a guitar.,a bald man is playing a guitar.,a victorian man wearing a guitar.,[CLS] wise man is playing a guitar.,0,2,2,0.2857142857142857,0.5,84.62744903564453,96.7768783569336,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,4,1,1,3,1,1,4,1,3,1,1,3,1,2,4
286,two dancers in pink tops and striped capri bottoms perform on stage barefoot.,two magicians are performing on stage.,they dressed in pink dresses and black capri pants perform on stage together.,[CLS] enactments are performed on stage.,0,2,2,0.4285714285714285,0.7142857142857143,160.47120666503906,69.10599517822266,2,4,1,5,1,4,2,4,2,4,1,5,1,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5
287,expert snowboard is trying a new trick.,the person is surfing on the water.,@ offshore surf is throwing a new wave.,[CLS] method is knocked on the snow.,0,1,2,0.625,0.75,250.304443359375,436.1175537109375,2,2,3,1,3,2,3,1,2,2,3,1,3,1,4,1,5,4,5,1,5,3,5,5,5,4,5,3,5,3,5,3
288,a city street corner with two passing bicyclists and several pedestrians.,the people are indoors.,a coronation street subway with two amtrak bicyclists and several cats.,[CLS] connections are nearby.,0,1,2,0.3333333333333333,1.0,160.1966552734375,402.87939453125,2,4,1,3,1,3,1,4,2,4,1,3,1,3,1,4,3,5,1,3,1,3,3,5,3,3,1,4,1,2,1,5
289,a black and white picture of a city street with a food vendor in the foreground.,the colors has disappeared form the world.,"entirely black and white inside of a city, with a garbage stand in the foreground.",[CLS] setting has varied throughout the city.,0,1,1,0.2941176470588235,0.875,75.15971374511719,97.77018737792967,2,4,2,2,2,4,2,4,2,4,2,4,1,4,1,4,3,5,1,3,3,3,3,5,5,4,3,5,3,4,4,5
290,a brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.,the tennis ball is clean.,a smartphone dog is in the middle of a line of dogs chasing a tennis tennis ball through grass.,the tennis ball is low.,0,2,2,0.2,0.1666666666666666,59.744998931884766,67.10337829589844,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,1,5,5,4,5,5
291,an accident involving a green sudan and a gray van.,two cars waited patiently for the light to turn green.,"a 177, a green, and a white ford.",[CLS] companions frantically checking for the light to turn around.,0,2,2,0.5454545454545454,0.6363636363636364,284.53155517578125,119.47183227539062,4,2,4,2,3,2,4,2,4,3,4,1,4,3,3,2,5,1,5,1,5,1,5,3,5,1,5,1,5,2,5,3
292,"3 cyclists are racing ahead of a red bmw, with the leader wearing solid white helmet and black cycling pants",three people are riding horses across a course.,"3 varieties are arabian riders of a red stripe, with the horse wearing a white jacket and black riding pants",[CLS] people are slick riders protecting a car.,0,2,1,0.3809523809523809,0.7777777777777778,328.4374084472656,153.2870635986328,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,5,4,5,3,5,3,5,3,5,5,5,3,4,4,5,2
293,a snowboarder with a maroon coat sails through the air.,the snowboarder is naked.,a deboarder with a reeling leg credits in the air.,[CLS] snowboarder is female.,0,2,2,0.4545454545454545,0.8,88.50921630859375,247.28958129882807,1,4,1,1,1,1,1,2,1,3,1,1,1,1,1,2,3,1,1,0,1,1,1,1,2,1,1,0,1,0,1,2
294,a team of surgeons operate on a female patient.,the surgeons are operating on a male patient.,a team of surgeons operating on a captive patient.,[CLS] surgeons are trained on a female patient.,0,2,1,0.2,0.5555555555555556,55.51120376586914,42.83486175537109,5,3,5,5,3,3,4,2,5,4,5,5,3,4,4,4,5,5,5,5,5,5,5,5,5,2,5,5,5,4,5,5
295,an elderly man wearing a olive green shirt and red and white striped apron is stacking cheese.,a women is eating some friend dumpling dumplings,an willow person wearing a bear green shirt and black and white striped snacks is feasting stuff.,[CLS] carter is eating some quality tackling peplings,0,2,2,0.3888888888888889,0.875,299.4727478027344,195.6204833984375,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,5,1,5,0,5,1,5,1,5,1,5,1,5,0,5,1
296,a lady in a red shirt and bikini bottoms is about to go surfing on a blue board in the ocean.,a woman is surfing in her pool.,a woman in a white shirt and tiger body is about to go surfing on a pool board in the la.,[CLS] woman is surfing in summer bay.,0,1,2,0.2727272727272727,0.625,74.63044738769531,92.27582550048828,2,4,2,5,1,4,2,4,2,4,2,5,2,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5
297,"a man wearing a purple cap, yellow snow goggles, a periwinkle jacket and red backpack moves quickly through powdery snow near a winter tree.",the man is making a snow angel.,"a man wearing a black coat, a snow jacket fur, a spiwino jacket and a feather is rendered in frosty snow near a forest altar.",the man is making a snow jumper call,2,2,2,0.5185185185185185,0.25,104.00389099121094,152.5919952392578,4,5,4,5,4,4,2,5,5,5,5,5,4,4,1,4,5,5,5,5,3,5,5,5,5,5,5,5,1,3,5,4
298,a boy is riding down the road between two cows.,a single cow is alone.,a lone is alive on the road between two livestock.,a third boy is nearby.,0,2,2,0.3636363636363636,0.5,80.3504638671875,154.299072265625,4,4,5,4,3,3,4,4,4,4,3,4,4,2,3,4,5,5,5,3,5,3,5,4,5,-1,5,3,4,3,5,5
299,"two male's in a karate class, one who is in the air with a blue and orange belt and one who is about to get kicked in the face.",two people do jump kicks,"two girls's in a compton class, one who is in the air with a blue and green abdomen and one who is about to get kicked in the back.",two people have faster kicks,1,1,2,0.15625,0.4,43.73480987548828,71.5651626586914,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,1,1,1,3,3,1,3,2,1,1,3,2,3
300,a man walks by a building at night.,a man is sitting in the sun.,a man lounge by a sea at sunset.,[CLS] man is moving in the wind.,0,1,1,0.3333333333333333,0.625,96.61785888671876,70.02803039550781,2,2,4,1,2,1,2,1,2,2,4,1,1,1,2,1,5,1,5,1,5,1,5,1,5,1,5,1,5,0,5,1
301,a woman runs on the beach.,the old lady spends a good time relaxing on the lounge.,the movie swings on the bedroom.,[CLS] pr lady spends a considerable day out on the beaches.,0,2,2,0.5714285714285714,0.6666666666666666,211.833724975586,170.4996795654297,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,5,1,5,1,5,5,5,2,5,1,4,1,5,5,4
302,a man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it.,two men lie on tables in the morgue.,a copy dies on a death with a panel in front of him while another man folds down to look at what is sleeping on top of them.,hopefully men are on disguise in the momentgue.,0,2,2,0.2413793103448276,0.4444444444444444,55.33617401123047,73.09939575195312,2,2,2,2,1,2,1,2,2,2,3,2,2,2,2,1,4,2,5,1,3,2,4,3,5,3,5,1,5,2,4,3
303,a baby sitting in a highchair looking delighted.,the baby is crying.,a baby sitting in a schoolchair. louder.,[CLS] smile is adorable.,0,2,2,0.3333333333333333,1.0,173.53953552246094,115.66455841064452,2,4,2,5,1,5,2,5,2,5,1,5,1,4,2,5,3,5,1,5,2,5,3,5,3,5,1,5,2,5,5,5
304,a person is posed with one leg raised and one arm out at a competition with their teammates in the background.,a man posed with both arms out at a competition.,the person is fronted with equal leg raised and famously sitting out at a table with their arms in the background.,[CLS] man poses with artistic arms outstretched at a competition.,0,2,1,0.3181818181818182,0.5454545454545454,89.4798812866211,128.89527893066406,2,4,2,4,2,4,1,4,2,4,1,4,2,4,1,4,3,5,1,5,1,5,3,5,1,5,2,5,1,5,4,5
305,a man hammering nails on a shed.,the shed is made of t - shirts.,a man scratching pussy hem a shit.,the artwork is representative of t. cass.,0,2,2,0.5,0.5555555555555556,223.83767700195312,690.4983520507812,1,3,1,2,1,2,1,4,1,3,1,1,1,1,2,4,1,3,0,1,1,2,1,3,1,3,0,1,1,3,1,3
306,kids are looking at something on a table.,some kids are burning the table down.,activities are burnt at everything like a table.,@ kids are seeing the sit down.,0,2,2,0.4444444444444444,0.375,207.8453826904297,246.0981903076172,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,3,1,1,-1,2,1,1,1
307,a man wearing a black hat and coat makes a face with a crowd behind him.,a man is taking a shower.,a man wearing a red shirt and underwear has a bathroom with a towel behind him.,[CLS] man is expecting a smile.,0,2,2,0.3529411764705882,0.7142857142857143,72.1478500366211,49.6394157409668,3,2,3,1,2,2,3,2,3,2,4,1,2,2,3,2,5,3,1,2,3,1,3,3,5,1,1,2,5,1,3,2
308,a couple is eating outside at a table and he is pointing at something.,a couple is eating inside at a table and he is pointing at something.,a couple is eating breakfast at a tray and he is pointing at something.,[CLS] couple is eating meat at a table and he is pointing at something.,0,1,2,0.1333333333333333,0.2666666666666666,34.189945220947266,25.85158920288086,4,4,5,4,4,3,4,4,4,4,5,4,3,3,5,4,5,5,5,4,5,4,5,5,5,5,5,2,5,4,5,4
309,a young boy wearing an orange uniform stands on the field near a colorful ball.,a girl is wearing a sweater.,a little black. an old girl stands on the ground near a dark fence.,a boy is wearing a helmet.,0,2,2,0.5,0.2857142857142857,60.74745178222656,54.03938674926758,3,2,2,2,3,2,2,4,3,3,3,2,3,1,2,4,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5
310,the blue kayak is being ridden over a small waterfall.,a guy is working out in the gym.,the bluebell guard is being worked in a large gym.,[CLS] person is working out in the gorge.,0,1,2,0.5454545454545454,0.5555555555555556,149.00050354003906,63.91567611694336,3,2,2,1,2,1,2,1,3,2,3,1,2,1,2,1,5,1,3,1,5,1,5,2,5,1,3,1,3,1,3,3
311,one female and two male musicians holding musical equipment.,there four females,three esther and two danish dancers with music equipment.,there are resources,0,1,1,0.6,0.6666666666666666,341.13287353515625,635.294189453125,2,4,2,4,2,3,3,4,2,3,2,5,2,3,3,4,5,5,5,5,5,3,5,5,5,4,5,5,5,3,5,5
312,"one man, shirtless, and a woman, clothed, jumping in the water.","two people are in a helicopter, high above the sahara desert.","one man, headless, and a woman, falcon, flies in the world.","two people are in a canal, partially above the bathing pool.",0,2,2,0.25,0.3076923076923077,50.29877471923828,63.93768310546875,2,4,1,4,1,3,1,4,2,4,2,2,1,4,2,4,3,5,1,5,1,5,2,5,3,5,0,5,2,4,2,4
313,"two formally dressed, bald older women",two long - haired young women.,"these were tall, blonde and bared",[CLS] long - excellent old women.,0,1,2,0.8571428571428571,0.7142857142857143,740.8396606445312,157.7213897705078,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,1,5,5,1,5,3,3,5,4,3,5,5,5,5,3,4,4
314,a younger couple is walking across a crosswalk outside with a very busy bus stop behind them.,there are people inside of a store.,"a favourite couple is seen in a shoproom, with a very busy bus stop behind them.",illuminating are people outside of a roadside.,0,1,1,0.2777777777777778,0.375,150.63865661621094,83.24790954589844,4,2,3,2,3,2,2,2,4,2,3,2,2,2,2,3,5,3,3,1,3,3,5,3,5,3,3,0,5,1,4,3
315,a man touching a hanging strand of lamps.,a man has his hands shoved into his coat pockets.,a man stalks a empty shop of doctors.,[CLS] man has his hand brought to his own notch.,0,2,1,0.4444444444444444,0.7272727272727273,275.0035705566406,81.91625213623047,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,1,1,1,1,1,1,3,3,1,1,1,3,0,1,3
316,a mountaineer about to descend down a mountain with a blue helmet on.,a man is drinking hot cocoa inside a lodge.,a lodge den appears to sunshine down a mountain with a blue lodge. it,[CLS] man is receiving hot oxygen from a stunt.,0,2,2,0.5,0.7,115.9131851196289,202.92010498046875,3,2,2,1,3,1,4,1,4,2,2,1,3,1,4,2,3,1,1,1,3,1,3,1,4,1,1,1,3,1,3,1
317,a dog standing near snow looking at water.,a cat is laying on the couch.,a boy standing near pet looking at lies.,[CLS] snow is seen on the water.,0,2,1,0.3333333333333333,0.75,165.353271484375,149.6377410888672,2,4,2,4,1,4,1,2,2,4,1,4,2,3,2,2,2,5,1,5,3,5,3,5,2,5,1,5,3,5,4,5
318,"children at daycare playing on rings, and poles, one parent standing and holding her child and one teacher is sitting on the bench watching the others play.",children are body slamming each other.,"children at day school engages in intercourse, and movements, one mother watching and holding her child and the child is sitting on the floor watching the group repeat.",learners are taught encouraging each other.,0,2,2,0.4333333333333333,0.4285714285714285,141.29124450683594,153.88063049316406,1,4,1,4,1,4,2,4,1,4,1,4,1,4,2,4,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
319,a man sits outdoors with some of his belongings.,a man is inside.,a man sits alone with one of his books.,[CLS] man is worth.,0,1,2,0.3,0.8,238.58273315429688,74.11990356445312,4,1,2,1,2,1,2,2,4,2,5,1,2,1,4,4,5,1,5,0,5,0,5,1,5,0,5,0,5,0,5,1
320,the dog is in the snow in front of some trees.,a cat plays in the snow.,the samantha is in the faerie in front of some trees.,a shepherd plays in the snow.,0,2,2,0.1666666666666666,0.1428571428571428,54.25465774536133,97.30601501464844,3,4,2,3,2,3,2,3,2,4,2,3,3,4,2,2,5,5,1,2,2,5,3,5,3,5,0,1,2,4,1,5
321,a motorist gets some air over a rough hill.,a motorist has stalled.,a motorist presently some space over a bare hill.,[CLS] motorist has disabilities.,0,1,2,0.3,0.8,254.1602020263672,306.7076110839844,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,5,1,3,1,3,1,3,1,5,1,3,1,2,1,4,1
322,two people riding their bikes down a street together.,a couple gets married at the courthouse.,the courtroom carries their heels down a street styled.,[CLS] couple gets together at the festival.,0,2,2,0.5,0.625,117.7316436767578,290.26837158203125,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,3,1,5,1,3,1,5,2,3,2,4,1,3,2,5,1
323,the white dog is pulling a large stick.,the dog is taking a nap at the park.,the scan dog is having a large nap.,[CLS] dog is currently a favorite at the park.,0,2,2,0.3333333333333333,0.5,158.0857391357422,75.93370819091797,3,2,5,1,4,1,2,1,4,2,5,1,3,2,2,1,5,1,5,1,5,1,5,3,5,1,5,1,5,1,4,3
324,a hand holds a strainer with a small amount of liquid in it with a table with bins in the background.,a city of ice sits in the distance.,a fort is a frozen swan with a large amount of ice in it with a toilet and overruns in the distance.,[CLS] process of control occurs in the surroundings.,0,1,1,0.4545454545454545,0.7777777777777778,86.43853759765625,65.42640686035156,1,3,1,2,1,2,1,2,1,3,1,2,1,3,1,2,1,1,1,1,1,1,2,1,2,1,1,1,-1,2,3,1
325,a jubilant crowd dressed fabulously in purple red and yellow - gold move in step on a metropolitan street.,one person walking on the street.,a jubilant hero painted immaculately inlaid red and gold and gold walked in disappears on a kota street.,[CLS] and entertaining on the street.,0,1,1,0.5,0.7142857142857143,226.723861694336,144.60104370117188,2,4,2,5,2,4,1,4,1,4,2,4,2,5,1,4,3,5,1,5,1,5,3,5,3,5,1,5,2,5,4,5
326,a group of people is sitting at a large table and using paint brushes to form characters on white paper.,the people are using their fingers to paint with.,a group of people is sitting at a nearby table and they hardware jeans to form paintings on the walls.,and people are allowed their fingers to pace with.,1,1,1,0.3333333333333333,0.3,85.69722747802734,77.31846618652344,2,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,5,3,5,1,3,3,5,3,4,3,5,1,3,3,4,3
327,a man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,a couple is eating in a restaurant.,a man and a wife are sharing ice cream from a restaurant with a hand squeezed ice cream tray.,a couple is entertaining in a gesture.,0,1,1,0.25,0.25,103.92665100097656,62.178016662597656,2,2,2,2,2,2,2,4,2,2,4,4,3,2,2,4,5,4,5,3,5,3,5,4,5,4,5,3,5,3,5,4
328,an adorable child leaping to block a soccer ball from entering the goal.,a child blocks a goal with his hockey stick.,the nearest child utilizes to block a hockey goal from entering the goal.,[CLS] young blocked the goal with a single shot.,0,1,2,0.3571428571428571,0.9,167.9429473876953,107.09742736816406,4,2,5,1,4,2,4,2,4,3,5,1,4,2,2,2,5,3,5,1,5,5,5,5,5,3,5,3,5,5,5,4
329,a man interviews a boy in a gathering of people.,a man slaps a little boy in front of a gather of people.,a brutal shocked a boy in a pack of people.,a man analyzes a little boy in front of a group of people.,0,2,1,0.2727272727272727,0.1428571428571428,26.60494041442871,76.4164047241211,4,4,5,5,2,3,2,4,2,4,4,5,2,3,2,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
330,a rugby player swings his leg back to punt the ball.,there is a person sitting on the bed.,a lullaby player resting his head back to host the ball.,there is a system located on the line.,0,2,1,0.3333333333333333,0.3333333333333333,122.5465316772461,103.68939971923828,2,4,2,2,1,2,2,2,2,4,1,3,1,2,2,3,3,5,1,1,1,3,3,5,3,5,1,1,1,3,1,4
331,a basketball player in a red uniform is trying to make a basket but is being blocked by the opposing team.,the basketball player is stretching on the sidelines.,a towel player in a strip carrier is trying to make a basket but is being retracted by the side team.,[CLS] basketball player is ranked on the defensive end.,0,1,2,0.2272727272727272,0.6666666666666666,63.318504333496094,110.78275299072266,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,4,1,1,1,3,1,3,1,3,1,0,1,-1,1,3,1
332,a photo of a woman in a black coat standing in front of a large two - paneled photo depicting a woman in a gray dress looking down with her hand in a bag.,the photo was of two men.,a photo of a men in a white coat stands in front of a large two - waxed jacket depicting a men in a red dress lying down with his hands in a white.,the photo was considered a owners.,0,1,2,0.3142857142857143,0.4285714285714285,47.05202102661133,49.15726089477539,2,2,1,2,2,2,2,2,2,2,1,4,2,1,2,2,3,5,1,3,3,3,3,4,4,5,3,4,3,5,3,5
333,a young family enjoys feeling ocean waves lap at their feet.,a family is out at a restaurant.,"a young frenchman enjoys butter, smiles back at their feet.",[CLS] family is encouraged at a place.,0,2,1,0.4166666666666667,0.625,396.2815246582031,234.1793212890625,2,2,1,2,1,2,1,4,2,2,2,2,2,2,1,5,1,5,1,5,1,5,1,5,1,5,1,4,0,5,1,5
334,a policeman on a motorcycle from the rear.,an officer on a chopper.,a 44 on a motorcycle in the rear.,[CLS] officer on a vehicle.,1,2,1,0.2222222222222222,0.6666666666666666,113.7085189819336,156.68296813964844,2,2,2,4,2,2,1,2,2,2,2,5,1,1,1,3,5,5,2,5,3,5,5,5,5,5,1,4,3,5,3,5
335,a worker is preparing fish to be sold at a market.,a person is on a boat fishing.,a fisherman is seeking fish to be caught at a float.,[CLS] labor is on a job business.,0,1,1,0.3333333333333333,0.75,119.84475708007812,98.45509338378906,4,2,5,1,4,1,4,2,4,1,3,1,4,1,4,2,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5
336,a young boy with a shaved head and dirty white collared shirt holds a chicken in his arm.,the young boy went swimming.,a young darted with a wet head and sporting white collared shirt contains a rainbow in his hair.,[CLS] young billy misses this.,0,1,2,0.3157894736842105,1.0,95.957763671875,161.85586547851562,2,4,1,2,1,2,2,4,2,3,2,2,2,3,2,4,5,1,1,0,3,1,3,3,2,2,1,0,2,5,3,3
337,2 people with backpacks are at a table with a woman with a beige blazer sitting behind it.,10 people are kissing,10 – with fiancees are at a prom with a woman in a pink blazer sitting behind them.,respected people are curious,0,2,2,0.3684210526315789,0.5,114.13935089111328,134.72824096679688,2,2,1,2,1,2,2,4,2,2,1,1,1,2,1,4,5,5,5,3,5,3,5,5,5,4,3,1,3,3,5,4
338,a group of adults standing up with children in sports attire kneeling on the ground.,a woman drinks moonshine.,a group of pleasures lights up with painter inzell attire haunt on the ground.,[CLS] women wielding athleticsily.,0,2,1,0.375,1.2,260.07666015625,609.1520385742188,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,2,3,1,1,0,1,1,3,2,3,1,0,0,3,2,3,1
339,a young girl is standing in a kitchen holding a green bib.,a boy is playing with a firetruck.,a young guy is hand in a crate holding a truck scareb.,a cum is welcomed with a water bruck.,0,2,2,0.3846153846153846,0.5,196.75411987304688,132.4393768310547,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,2,0,0,0,3,1,3,1
340,two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,the little boys are crying.,two little boys are rouse and cow while one is standing and one is in a bouncy tent.,[CLS] little boys are dressed.,0,2,2,0.1578947368421052,0.6666666666666666,70.79717254638672,85.7021255493164,2,2,1,2,1,2,2,2,2,2,1,3,2,2,2,1,3,5,1,5,1,5,3,5,3,3,2,5,4,5,5,5
341,man in leather jacket and scarf sits on purple cushion at a party.,a person is sleeping on the couch.,anna in empty jacket and then amadeus on home shifts at a party.,[CLS] person remains perched on the chair.,0,2,1,0.4285714285714285,0.75,144.58358764648438,261.3554382324219,2,4,1,4,1,3,2,4,2,3,2,3,1,4,1,4,3,5,1,5,3,5,3,5,4,5,2,5,2,5,5,5
342,a young couple sitting in a black chair smiling.,two young people are angry.,a young couple sitting in a nearby room vomiting.,[CLS] young people are amused.,0,1,1,0.3,0.6666666666666666,144.59014892578125,104.36634826660156,2,4,1,4,1,4,1,4,2,4,2,4,1,4,1,3,3,5,1,5,1,5,3,5,4,5,5,5,2,5,2,5
343,a woman is cutting into a sandwich while sitting at an outdoor table.,the lady on the table is leeping,a woman is falling over a pool while sitting at an outdoor table.,the lady of the table is noticed by,1,1,2,0.2142857142857142,0.4285714285714285,62.41946792602539,74.94477081298828,2,2,1,2,2,2,2,2,2,3,1,2,2,2,3,2,1,5,0,3,1,3,1,5,1,5,0,3,1,3,1,5
344,a woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,a man wearing a bathing suit is bent over in a cornfield while looking at the camera.,a man wearing a terrible torso is bent over in a cornfield while looking at the camera.,"- female, a girl outfit is bent over in a cornfield while looking at the camera.",0,2,1,0.1666666666666666,0.2777777777777778,27.171894073486328,15.420958518981934,4,2,1,4,2,2,2,2,4,2,4,4,3,2,2,2,5,5,1,1,1,4,5,5,5,5,1,4,2,-1,5,4
345,a smiling man and a baby girl posing for photo.,a girl poses for a selfie with her mother.,a silhouette girl and a young girl posing for breasts.,that girl poses for a selfie with her grandparents.,0,2,2,0.3636363636363636,0.2,53.96150588989258,62.2688102722168,2,4,2,2,2,4,2,3,1,3,2,4,2,3,2,4,1,5,1,2,1,4,1,5,1,5,0,2,1,4,1,5
346,a bicyclist wearing white sunglasses and a white and black helmet.,nobody has sunglasses,a semicyclist wearing white leg and a yellow and black trousers.,##oya has trademark,0,2,1,0.3333333333333333,1.3333333333333333,379.7085571289063,293.9452514648437,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,5,3,1,1,3,3,4,5,5,3,0,1,3,3,4,5
347,a man in a dark long rainproof jacket but dry hair walks to the left in a city that has recently rained.,the man is sitted in the bar,"a man in a dark gray wine wine jacket but comfortable, looks to the left of a cigar that has been closed.",[CLS] man is protected sheltered by the long,0,2,1,0.4347826086956521,1.0,214.02598571777344,104.23107147216795,2,4,2,4,2,4,2,5,2,4,3,4,2,4,2,4,5,5,5,5,4,3,5,5,5,5,3,5,4,3,5,5
348,a woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping.,the woman is wearing a full sleeved jacket.,"a woman guarding a shade and red harper is holding her hand, and a black and white dog that is reading.",[CLS] woman is wearing a full sleeved decoration.,0,2,1,0.2608695652173913,0.4444444444444444,99.31902313232422,97.03024291992188,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,3,5,1,5,1,5,3,5,2,5,1,5,1,2,3,5
349,a large group of people walking in a busy city at night.,people are outside in a park.,a small group of people sit in a sunny garden city park.,[CLS] are people in lincoln heights.,0,1,2,0.4615384615384615,0.8571428571428571,106.51571655273438,67.06388092041016,4,2,5,1,5,1,5,2,4,2,5,1,5,2,5,2,5,2,5,1,5,1,5,5,5,3,4,2,5,2,5,4
350,two children play in the snow by the side of the road.,toddles are roasting marshmallows.,two eagerly den in the playhouse by the side of the road.,potential children are encountering foxmallows.,0,2,2,0.2307692307692307,0.8,120.33567810058594,174.5546875,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,5,1,3,5,5,5,5,2,5,0,5,3,5,4,5
351,"a man sitting on a statue outdoors, near a woman standing next to him.",children playing baseball at the park,"a descendant out on a ball play, beside the boys standing next to him,","commemorating the meeting, the platform",0,2,2,0.5,0.8333333333333334,86.63440704345703,142.3127899169922,2,2,2,2,3,3,2,3,2,2,3,2,3,3,2,2,5,5,5,3,5,3,5,5,5,5,5,4,5,3,5,5
352,an asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand.,the teenager is sliding down the railing.,an asian teenager wearing a white shirt and black deck is shown on the bunk with his face vibration on his hand.,[CLS] character is counting down the realization.,0,2,2,0.217391304347826,0.75,76.5784683227539,148.01287841796875,3,4,2,2,2,3,3,2,4,4,3,2,2,5,2,2,3,1,1,1,3,1,3,1,3,1,1,1,1,1,-1,1
353,a man of the cloth puts a black substance on a man's forehead.,the women are at the park.,a man of the day kicked a golden duck on a woman's shoulder.,the men are recognised the master.,0,2,2,0.4,0.4285714285714285,111.07626342773438,113.09353637695312,1,2,1,2,1,2,2,4,1,2,1,2,1,2,1,4,2,3,1,3,3,3,3,4,3,2,1,3,1,2,3,4
354,a woman wearing a pink tank top holding a mug of liquid,a woman in a blue tank top holding a car.,a. wearing a blue tank top holding a plastic of liquid,[CLS] woman in a water tank top and a kitchen.,0,2,2,0.3333333333333333,0.5454545454545454,93.949462890625,73.31166076660156,2,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,3,1,1,1,1,1,4,1,5,1,1,1,0,1,3
355,"two black guys, that are on rival teams playing basketball.",two women playing basketball.,"two black women, that are on athletic teams play basketball.",[CLS] individuals play basketball.,0,1,1,0.25,1.0,152.66354370117188,105.9856185913086,4,2,5,1,3,1,4,2,5,2,5,1,4,2,4,1,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5
356,a woman is holding a large check for kids food basket.,she is stealing from them.,a woman is holding a large leap for unrelated other victims.,[CLS] ing money from them.,0,2,1,0.3333333333333333,0.8333333333333334,301.5909423828125,190.9305419921875,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1
